Symbol,Symbol,Name,Last,Change,%Chg,Open,High,Low,Time,,,"right(b2,len(b2)-1)"
AAVEUSD,^AAVEUSD,Aave - USD,77.958,-1.18,-1.49%,79.138,82.679,77.002,16-07-2023,,,
ADAUSD,^ADAUSD,Cardano - USD,0.321188,-0.002464,-0.76%,0.326089,0.336622,0.318293,08:00 CT,,,
AEDUSD,^AEDUSD,U.A.E. Dirham/U.S. Dollar,0.27226,1.00E-05,0.00%,0.27225,0.27226,0.27225,14-07-2023,,,
ALGOUSD,^ALGOUSD,Algorand - USD,0.1198,0.0084,7.54%,0.1145,0.1207,0.111277,08:00 CT,,,
ALLUSD,^ALLUSD,Albanian Lek/U.S. Dollar,0.010875,0,0.00%,0.010875,0.010875,0.010875,14-07-2023,,,
ARCAUSD,^ARCAUSD,,1,0,0.00%,1,1,1,07-07-2023,,,
ARSUSD,^ARSUSD,Argentine Peso/U.S. Dollar,0.00377,-1.00E-05,-0.26%,0.00378,0.00379,0.00377,14-07-2023,,,
ATOMUSD,^ATOMUSD,Cosmos - USD,9.5797,0.0612,0.64%,9.7106,9.9777,9.5012,08:00 CT,,,
AUDUSD,^AUDUSD,Australian Dollar/U.S. Dollar,0.68381,-0.00509,-0.74%,0.68887,0.68948,0.68308,14-07-2023,,,
AVAXUSD,^AVAXUSD,Avalanche - USD,14.5687,0.151,1.05%,14.3948,15.3385,14.3808,08:00 CT,,,
AWGUSD,^AWGUSD,Aruba Guilder/U.S. Dollar,0.5552,0,0.00%,0.5552,0.5552,0.5552,14-07-2023,,,
AXSUSD,^AXSUSD,Axie Infinity - USD,6.27,-0.0202,-0.32%,6.4,6.4606,6.21,08:00 CT,,,
BAMUSD,^BAMUSD,Bosnian Marka/U.S. Dollar,0.57403,0,0.00%,0.57403,0.57403,0.57403,14-07-2023,,,
BATUSD,^BATUSD,Basic Attention - USD,0.20851,0.00586,2.89%,0.20265,0.21182,0.20219,08:00 CT,,,
BBDUSD,^BBDUSD,Barbados Dollars/U.S. Dollar,0.495812,0,0.00%,0.495812,0.495812,0.495812,14-07-2023,,,
BCHUSD,^BCHUSD,Bitcoin Cash - USD,253.4977,-5.5273,-2.13%,253.6888,264.7851,247.4713,08:00 CT,,,
BDTUSD,^BDTUSD,Bangladeshi Taka/U.S. Dollar,0.0092,0,0.00%,0.0092,0.0092,0.0092,14-07-2023,,,
BGNUSD,^BGNUSD,Bulgarian Lev/U.S. Dollar,0.57404,0.00215,0.38%,0.57204,0.57405,0.57204,14-07-2023,,,
BHDUSD,^BHDUSD,Brunei Dollar/U.S. Dollar,2.653,-0.0003,-0.01%,2.6531,2.6532,2.6527,14-07-2023,,,
BIFUSD,^BIFUSD,Burundian Franc/U.S. Dollar,0.000354,1.00E-06,0.28%,0.000354,0.000354,0.000354,14-07-2023,,,
BNBUSD,^BNBUSD,Binance Coin - USD,249.663,4.372,1.78%,251.221,252.142,245.211,08:00 CT,,,
BNDUSD,^BNDUSD,Bruneian Dollar/U.S. Dollar,0.7579,0,0.00%,0.7579,0.7579,0.7579,14-07-2023,,,
BOBUSD,^BOBUSD,Bolivian Boliviano/U.S. Dollar,0.14491,0,0.00%,0.14491,0.14491,0.14491,14-07-2023,,,
BRLUSD,^BRLUSD,Brazilian Real/U.S. Dollar,0.2086,0.0002,0.10%,0.2083,0.2093,0.20774,14-07-2023,,,
BSDUSD,^BSDUSD,Bahamian Dollar/U.S. Dollar,1.000676,0,0.00%,1.000676,1.000676,1.000676,14-07-2023,,,
BSVUSD,^BSVUSD,Bitcoin Sv - USD,36.5797,0.8407,2.35%,37.2529,38.0177,35.5067,07:59 CT,,,
BTCBUSD,^BTCBUSD,Bitcoin / Binance Spot,30304.01,98.01,0.32%,30206,30398,30093.54,08:00 CT,,,
BTCTUSD,^BTCTUSD,Bitcoin / Binance Spot,30319.93,102.01,0.34%,30212.56,30407.99,30110.91,08:00 CT,,,
BTCUSD,^BTCUSD,Bitcoin - USD,30344.79,123.35,0.41%,30349.18,30417.41,30123.88,08:00 CT,,,
BTGUSD,^BTGUSD,Bitcoin Gold - USD,13.8266,0.0455,0.33%,13.8167,13.8983,13.3461,07:59 CT,,,
BTNUSD,^BTNUSD,Bhutanese Ngultrum/U.S. Dollar,0.012186,0,0.00%,0.012186,0.012186,0.012186,14-07-2023,,,
BWPUSD,^BWPUSD,Botswana Pula/U.S. Dollar,0.07625,0,0.00%,0.07625,0.07625,0.07625,14-07-2023,,,
BZDUSD,^BZDUSD,Belizean Dollar/U.S. Dollar,0.49665,0,0.00%,0.49665,0.49665,0.49665,14-07-2023,,,
CADUSD,^CADUSD,Canadian Dollar/U.S. Dollar,0.75651,-0.00625,-0.82%,0.76276,0.76378,0.75604,14-07-2023,,,
CAKEUSD,^CAKEUSD,Pancakeswap - USD,1.531,-0.009,-0.58%,1.573,1.58,1.52,08:00 CT,,,
CDFUSD,^CDFUSD,Congolese Franc/U.S. Dollar,0.0004,0,0.00%,0.0004,0.0004,0.0004,14-07-2023,,,
CELOUSD,^CELOUSD,Celo Native Asset - USD,0.523,0.029,5.87%,0.494,0.54,0.494,07:52 CT,,,
CHFUSD,^CHFUSD,Swiss Franc/U.S. Dollar,1.16022,-0.00413,-0.35%,1.16458,1.16737,1.1586,14-07-2023,,,
CLPUSD,^CLPUSD,Chilean Peso/U.S. Dollar,0.001235,0,0.00%,0.001235,0.001235,0.001235,14-07-2023,,,
CLVUSD,^CLVUSD,Clover Finance - USD,0.0378,-0.0002,-0.53%,0.0379,0.0389,0.0377,06:44 CT,,,
CNYUSD,^CNYUSD,Chinese Yuan/U.S. Dollar,0.14004,0.0002,0.14%,0.13984,0.14045,0.13984,14-07-2023,,,
COMPUSD,^COMPUSD,Compound - USD,79.9092,10.7145,15.48%,76.1412,81.8557,65.3836,08:00 CT,,,
CRCUSD,^CRCUSD,Costa Rican Colon/U.S. Dollar,0.00184,0,0.00%,0.00184,0.00184,0.00184,14-07-2023,,,
CROUSD,^CROUSD,Cronos - USD,0.060668,0.001576,2.67%,0.059092,0.061875,0.058959,07:59 CT,,,
CTSIUSD,^CTSIUSD,Cartesi - USD,0.1583,-0.0089,-5.32%,0.1672,0.1672,0.1576,07:58 CT,,,
CUPUSD,^CUPUSD,Cuban Peso/U.S. Dollar,0.041691,0,0.00%,0.041691,0.041691,0.041691,14-07-2023,,,
CVEUSD,^CVEUSD,Cape Verdean Escudo/U.S. Dollar,0.010182,4.90E-05,0.48%,0.010182,0.010182,0.010182,14-07-2023,,,
CZKUSD,^CZKUSD,Czech Koruna/U.S. Dollar,0.04724,2.00E-05,0.04%,0.04724,0.04733,0.04712,14-07-2023,,,
DAIUSD,^DAIUSD,Dai - USD,1.000418,0.000621,0.06%,0.999797,1.001277,0.99948,07:59 CT,,,
DASHUSD,^DASHUSD,Dash - USD,33.6007,0.0705,0.21%,33.9673,34.7836,33.2978,08:00 CT,,,
DJFUSD,^DJFUSD,Djiboutian Franc/U.S. Dollar,0.005622,2.00E-06,0.04%,0.005622,0.005622,0.005622,14-07-2023,,,
DKKUSD,^DKKUSD,Danish Krone/U.S. Dollar,0.15073,8.00E-05,0.05%,0.15065,0.15096,0.15034,14-07-2023,,,
DOGEUSD,^DOGEUSD,Dogecoin - USD,0.071189,0.002787,4.07%,0.071623,0.074745,0.067892,08:00 CT,,,
DOPUSD,^DOPUSD,Dominican Peso/U.S. Dollar,0.01788,-1.00E-05,-0.06%,0.01788,0.01788,0.01788,14-07-2023,,,
DOTUSD,^DOTUSD,Polkadot - USD,5.38364,0.00775,0.14%,5.42361,5.54726,5.34676,08:00 CT,,,
DZDUSD,^DZDUSD,Algerian Dinar/U.S. Dollar,0.00744,2.00E-05,0.27%,0.00742,0.00745,0.00742,14-07-2023,,,
ECBUSD,^ECBUSD,ECB Eur/Usd,1.1221,0.0039,0.35%,1.1221,1.1221,1.1221,17-07-2023,,,
EGLDUSD,^EGLDUSD,Multiversx - USD,37.365,1.4695,4.09%,35.8789,37.6586,35.8781,08:00 CT,,,
EGPUSD,^EGPUSD,Egyptian Pound/U.S. Dollar,0.03236,0,0.00%,0.03237,0.03237,0.03236,14-07-2023,,,
EOSUSD,^EOSUSD,Eos - USD,0.777249,0.015723,2.06%,0.77236,0.800294,0.758732,08:00 CT,,,
ETBUSD,^ETBUSD,Ethiopian Birr/U.S. Dollar,0.01818,0,0.00%,0.01818,0.01818,0.01818,14-07-2023,,,
ETCUSD,^ETCUSD,Ethereum Classic - USD,19.38225,0.51109,2.71%,19.51462,19.85806,18.74477,08:00 CT,,,
ETHGUSD,^ETHGUSD,,190.4,0,0.00%,190.4,190.4,190.4,07-07-2023,,,
ETHTUSD,^ETHTUSD,Ethereum / True USD,1932.45,15.47,0.81%,1915.87,1947.07,1915.87,08:00 CT,,,
ETHUSD,^ETHUSD,Ethereum - USD,1934.159,18.012,0.94%,1933.543,1947.372,1915.47,08:00 CT,,,
EURUSD,^EURUSD,Euro/U.S. Dollar,1.1229,0.0003,0.03%,1.12262,1.12448,1.12046,14-07-2023,,,
FILUSD,^FILUSD,Filecoin - USD,4.42432,0.01943,0.44%,4.43324,4.5043,4.36499,08:00 CT,,,
FJDUSD,^FJDUSD,Fijian Dollar/U.S. Dollar,0.4589,0.0003,0.07%,0.4585,0.459,0.4585,14-07-2023,,,
FTMUSD,^FTMUSD,Fantom - USD,0.2705,-0.0084,-3.01%,0.2826,0.2873,0.2667,08:00 CT,,,
GALAUSD,^GALAUSD,Gala - USD,0.02531,0.00055,2.22%,0.02567,0.02631,0.02474,08:00 CT,,,
GBPUSD,^GBPUSD,British Pound/U.S. Dollar,1.3091,-0.00442,-0.34%,1.31355,1.31427,1.309,14-07-2023,,,
GECUSD,^GECUSD,,0.1146,-0.0051,-4.26%,0.1199,0.1199,0.0652,14-07-2023,,,
GHSUSD,^GHSUSD,Ghanaian Cedis/Us Dollar,0.08797,0,0.00%,0.08797,0.08797,0.08797,14-07-2023,,,
GNFUSD,^GNFUSD,Guinean Franc/U.S. Dollar,0.000116,0,0.00%,0.000116,0.000116,0.000116,14-07-2023,,,
GRTUSD,^GRTUSD,The Graph - USD,0.120879,0.002916,2.47%,0.11812,0.12307,0.117902,08:00 CT,,,
GTQUSD,^GTQUSD,Guatemalan Quetzal/U.S. Dollar,0.12757,0,0.00%,0.12757,0.12757,0.12757,14-07-2023,,,
GYDUSD,^GYDUSD,Guyanese Dollar/U.S. Dollar,0.00477,0,0.00%,0.00477,0.00477,0.00477,14-07-2023,,,
HBARUSD,^HBARUSD,Hedera - USD,0.051189,0.001134,2.27%,0.050045,0.053412,0.050045,07:59 CT,,,
HEXUSD,^HEXUSD,Hex - USD,0.01015,-0.00025,-2.40%,0.0104,0.01313,0.00957,08:00 CT,,,
HKDUSD,^HKDUSD,Hong Kong Dollar/U.S. Dollar,0.12798,0.00013,0.10%,0.12785,0.12799,0.12783,14-07-2023,,,
HNLUSD,^HNLUSD,Honduran Lempira/U.S. Dollar,0.04067,0.00015,0.37%,0.04067,0.04067,0.04067,14-07-2023,,,
HTGUSD,^HTGUSD,Haitian Gourde/U.S. Dollar,0.0072,-7.00E-05,-0.96%,0.0072,0.0072,0.0072,14-07-2023,,,
HUFUSD,^HUFUSD,Hungarian Forint/U.S. Dollar,0.003,0,0.00%,0.003,0.00301,0.00299,14-07-2023,,,
ICPUSD,^ICPUSD,Internet Computer - USD,4.143,-0.028,-0.67%,4.229,4.282,4.092,08:00 CT,,,
IDRUSD,^IDRUSD,Indonesian Rupiah/U.S. Dollar,7.00E-05,0,0.00%,7.00E-05,7.00E-05,7.00E-05,14-07-2023,,,
ILSUSD,^ILSUSD,Israeli Shekel/U.S. Dollar,0.27729,0.00059,0.21%,0.27816,0.27816,0.27633,14-07-2023,,,
INRUSD,^INRUSD,Indian Rupee/U.S. Dollar,0.01218,-1.30E-05,-0.11%,0.012193,0.012206,0.012167,14-07-2023,,,
INXUSD,^INXUSD,,0.71,-0.04,-5.33%,0.75,0.75,0.7,14-07-2023,,,
IOTAUSD,^IOTAUSD,Iota - USD,0.192402,0.007813,4.23%,0.192104,0.196005,0.184563,08:00 CT,,,
IQDUSD,^IQDUSD,Iraqi Dinar/U.S. Dollar,0.000764,0,0.00%,0.000764,0.000764,0.000764,14-07-2023,,,
ISKUSD,^ISKUSD,Icelandic Krona/U.S. Dollar,0.007651,0,0.00%,0.007651,0.007651,0.007651,14-07-2023,,,
JFINUSD,^JFINUSD,Jfin Jfc - USD,0.191271,0.004673,2.50%,0.186598,0.204871,0.18569,07:58 CT,,,
JMDUSD,^JMDUSD,Jamaican Dollar/U.S. Dollar,0.006471,0,0.00%,0.006471,0.006471,0.006471,14-07-2023,,,
JODUSD,^JODUSD,Jordanian Dinar/U.S. Dollar,1.4097,-0.0011,-0.08%,1.41,1.41,1.4097,14-07-2023,,,
JPYUSD,^JPYUSD,Japanese Yen/U.S. Dollar,0.007205,-3.80E-05,-0.52%,0.007243,0.007276,0.007195,14-07-2023,,,
KEEPUSD,^KEEPUSD,Keep Network - USD,0.11851,0.00669,5.98%,0.11182,0.12817,0.11182,07:59 CT,,,
KESUSD,^KESUSD,Kenyan Shilling/U.S. Dollar,0.007,-0.0002,-2.78%,0.007,0.007,0.007,14-07-2023,,,
KHRUSD,^KHRUSD,Cambodian Riel/U.S. Dollar,0.000242,0,0.00%,0.000242,0.000242,0.000242,14-07-2023,,,
KLAYUSD,^KLAYUSD,Klaytn - USD,0.1728,0.0038,2.25%,0.1726,0.1743,0.1688,08:00 CT,,,
KMFUSD,^KMFUSD,Comoros Franc/U.S. Dollar,0.00226,1.00E-05,0.44%,0.00226,0.00226,0.00226,13-07-2023,,,
KRWUSD,^KRWUSD,Korean Won/U.S. Dollar,0.000789,1.00E-06,0.13%,0.000788,0.000789,0.000788,14-07-2023,,,
KWDUSD,^KWDUSD,Kuwaiti Dinar/U.S. Dollar,3.2656,0.0006,0.02%,3.2651,3.2665,3.2651,14-07-2023,,,
KYDUSD,^KYDUSD,Caymanian Dollar/U.S. Dollar,1.201186,0,0.00%,1.201186,1.201186,1.201186,14-07-2023,,,
KZTUSD,^KZTUSD,Kazakhstani Tenge/U.S. Dollar,0.002247,-1.00E-06,-0.04%,0.002247,0.002247,0.002247,14-07-2023,,,
LBPUSD,^LBPUSD,Lebanese Pound/U.S. Dollar,0,N/A,N/A,0,0,0,14-07-2023,,,
LEOUSD,^LEOUSD,Leo - USD,4.0145,-0.05843,-1.43%,4.07293,4.164,3.9289,07:59 CT,,,
LINKUSD,^LINKUSD,Chainlink - USD,6.823,0.021,0.31%,6.961,7.018,6.771,08:00 CT,,,
LKRUSD,^LKRUSD,Sri Lankan Rupee/U.S. Dollar,0.00312,-3.00E-05,-0.95%,0.00312,0.00312,0.00312,14-07-2023,,,
LRDUSD,^LRDUSD,Liberia Dollar/U.S. Dollar,0.00544,-1.00E-05,-0.18%,0.00545,0.00545,0.00544,13-07-2023,,,
LSLUSD,^LSLUSD,Basotho Loti/U.S. Dollar,0.05544,0,0.00%,0.05544,0.05544,0.05544,14-07-2023,,,
LTCUSD,^LTCUSD,Litecoin - USD,94.5389,0.5621,0.60%,94.9343,95.8297,93.5231,08:00 CT,,,
LUNAUSD,^LUNAUSD,Terra Luna - USD,0.6318,0.0401,6.78%,0.6065,0.6508,0.5913,08:00 CT,,,
LYDUSD,^LYDUSD,Libyan Dinar/U.S. Dollar,0.21056,0,0.00%,0.21056,0.21056,0.21056,14-07-2023,,,
MADUSD,^MADUSD,Moroccan Dirham/U.S. Dollar,0.10399,0,0.00%,0.10399,0.10399,0.10399,14-07-2023,,,
MANAUSD,^MANAUSD,Decentraland - USD,0.4159,0.0109,2.69%,0.4214,0.4267,0.4046,08:00 CT,,,
MDLUSD,^MDLUSD,Moldovan Leu/U.S. Dollar,0.05554,0.00054,0.98%,0.05554,0.05554,0.05554,14-07-2023,,,
MGAUSD,^MGAUSD,Malagasy Ariary/U.S. Dollar,0.000221,0,0.00%,0.000221,0.000221,0.000221,14-07-2023,,,
MIMUSD,^MIMUSD,Magic Internet Money - USD,0.9978,0,0.00%,0.9978,0.9978,0.9978,08:00 CT,,,
MKDUSD,^MKDUSD,Macedonian Denar/U.S. Dollar,0.01825,0.00011,0.61%,0.01822,0.01825,0.0182,14-07-2023,,,
MMKUSD,^MMKUSD,Burmese Kyat/U.S. Dollar,0.000476,0,0.00%,0.000476,0.000476,0.000476,14-07-2023,,,
MOPUSD,^MOPUSD,Macau Pataca/U.S. Dollar,0.124355,0,0.00%,0.124355,0.124355,0.124355,14-07-2023,,,
MURUSD,^MURUSD,Mauritian Rupee/U.S. Dollar,0.0221,0.0001,0.45%,0.022,0.0221,0.022,14-07-2023,,,
MVRUSD,^MVRUSD,Maldives Rufiyaa/U.S. Dollar,0.06492,-0.0001,-0.15%,0.06502,0.06502,0.06492,13-07-2023,,,
MWKUSD,^MWKUSD,Malawian Kwacha/U.S. Dollar,0.000949,0,0.00%,0.000949,0.000949,0.000949,14-07-2023,,,
MXNUSD,^MXNUSD,Mexican Peso/U.S. Dollar,0.05969,0.000305,0.51%,0.059379,0.059818,0.059112,14-07-2023,,,
MYRUSD,^MYRUSD,Malaysian Ringgit/U.S. Dollar,0.22093,0.00355,1.63%,0.21822,0.22127,0.21822,14-07-2023,,,
MZNUSD,^MZNUSD,Mozambique Metical/U.S. Dollar,0.01566,0,0.00%,0.01566,0.01566,0.01566,13-07-2023,,,
NEARUSD,^NEARUSD,Near Protocol - USD,1.478,0.01225,0.84%,1.495,1.52603,1.46,08:00 CT,,,
NEOUSD,^NEOUSD,NEO - USD,9.27439,0.12059,1.32%,9.3557,9.49078,9.15138,08:00 CT,,,
NGNUSD,^NGNUSD,Nigerian Naira/U.S. Dollar,0.001287,0,0.00%,0.001287,0.001287,0.001287,14-07-2023,,,
NIOUSD,^NIOUSD,Nicaraguan Cordoba/U.S. Dollar,0.02736,0,0.00%,0.02736,0.02736,0.02736,14-07-2023,,,
NOKUSD,^NOKUSD,Norwegian Krone/U.S. Dollar,0.099485,-0.001052,-1.05%,0.10052,0.100616,0.099419,14-07-2023,,,
NPRUSD,^NPRUSD,Nepalese Rupee/U.S. Dollar,0.00762,0,0.00%,0.00762,0.00762,0.00762,14-07-2023,,,
NZDUSD,^NZDUSD,New Zealand Dollar/U.S. Dollar,0.63705,-0.00218,-0.34%,0.63931,0.64118,0.63651,14-07-2023,,,
OGNUSD,^OGNUSD,Origin Token - USD,0.082455,0.000302,0.37%,0.082084,0.085376,0.081754,07:59 CT,,,
OKBUSD,^OKBUSD,Okb - USD,44.2719,1.354,3.15%,42.9179,44.4353,42.8094,07:59 CT,,,
OMGUSD,^OMGUSD,Omisego - USD,0.645566,0.005891,0.92%,0.650886,0.663895,0.631761,08:00 CT,,,
OMRUSD,^OMRUSD,Omani Rial/U.S. Dollar,2.5974,-0.0001,0.00%,2.5974,2.5976,2.5972,14-07-2023,,,
OXTUSD,^OXTUSD,Orchid - USD,0.0524,-0.0002,-0.38%,0.0526,0.0531,0.0518,07:59 CT,,,
PABUSD,^PABUSD,Panamanian Balboa/U.S. Dollar,1.001134,0,0.00%,1.001134,1.001134,1.001134,14-07-2023,,,
PENUSD,^PENUSD,Peruvian Nuevo Sol/U.S. Dollar,0.27993,0,0.00%,0.27993,0.27993,0.27993,14-07-2023,,,
PGKUSD,^PGKUSD,Papua New Guinea Kina/U.S. Dollar,0.2765,0,0.00%,0.2765,0.2765,0.2765,14-07-2023,,,
PHPUSD,^PHPUSD,Philippine Peso/Us Dollar,0.0184,2.00E-05,0.11%,0.01839,0.01851,0.01834,14-07-2023,,,
PKRUSD,^PKRUSD,Pakistani Rupee/U.S. Dollar,0.003652,-2.20E-05,-0.60%,0.003652,0.003652,0.003652,14-07-2023,,,
PLNUSD,^PLNUSD,Polish Zloty/U.S. Dollar,0.25217,-0.00041,-0.16%,0.25261,0.2528,0.25085,14-07-2023,,,
PYGUSD,^PYGUSD,Paraguayan Guarani/U.S. Dollar,0,N/A,N/A,0,0,0,14-07-2023,,,
QARUSD,^QARUSD,Qatar Riyal/U.S. Dollar,0.2747,1.00E-04,0.04%,0.2746,0.2747,0.2746,13-07-2023,,,
QTUMUSD,^QTUMUSD,Qtum - USD,2.76705,0.02763,1.01%,2.79272,2.85265,2.73982,08:00 CT,,,
RONUSD,^RONUSD,Romanian Lei/U.S. Dollar,0.22752,0.00012,0.05%,0.2274,0.22775,0.22679,14-07-2023,,,
RSDUSD,^RSDUSD,Serbian Dinar/U.S. Dollar,0.0096,0,0.00%,0.0096,0.0096,0.0096,14-07-2023,,,
RUBUSD,^RUBUSD,Russian Ruble/U.S. Dollar,0.011061,-3.30E-05,-0.30%,0.0111,0.011155,0.011045,14-07-2023,,,
RWFUSD,^RWFUSD,Rwandan Franc/U.S. Dollar,0.000857,0,0.00%,0.000857,0.000857,0.000857,14-07-2023,,,
SANDUSD,^SANDUSD,The Sandbox - USD,0.45124,0.01195,2.72%,0.4391,0.46125,0.43867,08:00 CT,,,
SARUSD,^SARUSD,Saudi Riyal/U.S. Dollar,0.26657,3.00E-05,0.01%,0.26654,0.26658,0.26653,14-07-2023,,,
SCRUSD,^SCRUSD,Seychelles Rupee/U.S. Dollar,0.07513,0.00064,0.86%,0.07457,0.07685,0.07457,14-07-2023,,,
SEKUSD,^SEKUSD,Swedish Krona/U.S. Dollar,0.0976,-0.00041,-0.42%,0.0981,0.09825,0.0973,14-07-2023,,,
SGDUSD,^SGDUSD,Singapore Dollar/U.S. Dollar,0.75682,0.00038,0.05%,0.75642,0.75917,0.75578,14-07-2023,,,
SHIBUSD,^SHIBUSD,Shiba Inu - USD,8.00E-06,2.00E-07,2.56%,8.20E-06,8.50E-06,7.80E-06,08:00 CT,,,
SHPUSD,^SHPUSD,ST Helena Pound/U.S. Dollar,1.31255,0.0195,1.51%,1.31255,1.31255,1.31255,13-07-2023,,,
SKLUSD,^SKLUSD,Skale - USD,0.027795,-6.20E-05,-0.22%,0.027857,0.029571,0.027795,07:58 CT,,,
SNTUSD,^SNTUSD,Status - USD,0.026686,1.40E-05,0.05%,0.026246,0.026686,0.026246,07:59 CT,,,
SOLUSD,^SOLUSD,Solana - USD,27.9772,1.856,7.11%,27.3651,29.0519,26.1142,08:00 CT,,,
SOSUSD,^SOSUSD,Somali Shilling/U.S. Dollar,0.001763,0,0.00%,0.001763,0.001763,0.001763,14-07-2023,,,
SVCUSD,^SVCUSD,Salvadoran Colon/U.S. Dollar,0.114417,0,0.00%,0.114417,0.114417,0.114417,14-07-2023,,,
SZLUSD,^SZLUSD,Swaziland Emalangeni/U.S. Dollar,0.05548,0,0.00%,0.05548,0.05548,0.05548,14-07-2023,,,
